id;cliente_id;valor;data
8615;586;0.2;2022-01-19 17:12:26 -0300
8613;586;0.2;2022-01-19 17:11:25 -0300
8611;586;0.2;2022-01-19 17:10:05 -0300
8606;910;300.0;2022-01-19 16:59:36 -0300
8604;76;100.0;2022-01-18 09:48:14 -0300
8603;76;100.0;2022-01-18 09:48:04 -0300
8602;76;100.0;2022-01-18 09:47:47 -0300
8601;76;100.0;2022-01-18 09:47:43 -0300
8600;76;100.0;2022-01-18 09:47:39 -0300
8599;76;100.0;2022-01-18 09:43:05 -0300
8598;76;100.0;2022-01-18 09:42:56 -0300
8597;76;100.0;2022-01-18 09:40:28 -0300
8596;76;100.0;2022-01-18 09:38:19 -0300
8595;76;100.0;2022-01-18 09:37:59 -0300
8594;76;100.0;2022-01-18 09:37:29 -0300
8593;76;100.0;2022-01-18 09:37:19 -0300
8592;907;10.0;2022-01-18 09:30:26 -0300
8591;907;10.0;2022-01-18 09:30:14 -0300
8590;907;10.0;2022-01-18 09:30:10 -0300
8589;907;10.0;2022-01-18 09:30:04 -0300
8586;907;10.0;2022-01-18 09:28:23 -0300
8532;370;50.0;2022-01-11 18:20:04 -0300
8529;909;8.0;2022-01-11 16:22:52 -0300
8512;671;2.0;2022-01-09 09:55:40 -0300
8509;671;1000.0;2022-01-09 09:53:19 -0300
8473;671;200.0;2022-01-05 14:42:58 -0300
8436;671;300.0;2021-12-31 14:17:21 -0300
8431;671;1000.0;2021-12-31 10:34:52 -0300
8420;370;50.0;2021-12-29 10:33:28 -0300
8403;671;1000.0;2021-12-22 15:56:41 -0300
8379;671;1000.0;2021-12-20 13:44:51 -0300
8372;671;200.0;2021-12-18 10:38:45 -0300
8333;671;50.0;2021-12-17 08:04:34 -0300
8282;671;1000.0;2021-12-12 14:38:55 -0300
8201;671;1000.0;2021-12-08 13:39:05 -0300
8196;370;50.0;2021-12-08 10:44:31 -0300
8194;74;20.0;2021-12-07 18:33:45 -0300
8150;671;1000.0;2021-12-05 15:43:28 -0300
8143;671;50.0;2021-12-05 10:30:35 -0300
8134;431;1100.0;2021-12-04 08:36:24 -0300
8124;671;80.0;2021-12-03 12:46:41 -0300
8096;671;1000.0;2021-11-30 13:12:09 -0300
8095;671;1.0;2021-11-30 13:00:35 -0300
8089;671;20.0;2021-11-30 07:05:28 -0300
